Frequency,Phase
83948710.0,28.89232199999998
84598700.0,27.722340000000003
85248690.0,26.552357999999998
85898680.0,25.382375999999994
86548670.0,24.21239399999999
87198660.0,23.042412000000013
87848650.0,21.87243000000001
88498640.0,20.702448000000004
89148630.0,19.532466
89798620.0,18.362483999999995
90448610.0,17.19250200000002
91098600.0,16.022520000000014
91748590.0,14.85253800000001
92398580.0,13.682556000000005
93048570.0,12.512574
93698560.0,11.342591999999996
94348550.0,10.172609999999992
94998540.0,9.002628000000016
95648530.0,7.832646000000011
96298520.0,6.662664000000007
96948510.0,5.492682000000002
97598500.0,4.3226999999999975
98248490.0,3.152717999999993
98898480.0,1.9827359999999885
99548470.0,0.8127540000000124
100198460.0,-0.3572279999999921
100848450.0,-1.5272099999999966
101498440.0,-2.6971919999999727
102148430.0,-3.8671740000000057
102798420.0,-5.037155999999982
103448410.0,-6.207138000000015
104098400.0,-7.377119999999991
104748390.0,-8.547101999999995
105398380.0,-9.717083999999971
106048370.0,-10.887066000000004
106698360.0,-12.05704799999998
107348350.0,-13.227030000000013
107998340.0,-14.39701199999999
108648330.0,-15.566993999999994
109298320.0,-16.736976
109948310.0,-17.906958000000003
110598300.0,-19.07693999999998
111248290.0,-20.246922000000012
111898280.0,-21.416903999999988
112548270.0,-22.58688600000002
113198260.0,-23.756867999999997
113848250.0,-24.92685
114498240.0,-26.096832000000006
115148230.0,-27.26681400000001
115798220.0,-28.436795999999987
116448210.0,-29.60677800000002
117098200.0,-30.776759999999996
117748190.0,-31.94674200000003
118398180.0,-33.116724000000005
119048170.0,-34.28670600000001
119698160.0,-35.456687999999986
120348150.0,-36.62667000000002
120998140.0,-37.796651999999995
121648130.0,-38.96663400000003
122298120.0,-40.136616000000004
122948110.0,-41.30659800000001
123598100.0,-42.47658000000001
124248090.0,-43.64656200000002
124898080.0,-44.81654399999999
125548070.0,-45.98652599999997
126198060.0,-47.156508
126848050.0,-48.32648999999998
127498040.0,-49.49647200000001
128148030.0,-50.66645399999999
